# ahrs_csv source=esp32-c3 algo=vqf-c accel_unit=g gyro_unit=rad/s frame=hand bias_subtracted=1 nominal_fs=100
t_us,gx,gy,gz,ax,ay,az,qw,qx,qy,qz
4023183,-0.000973843,-0.0005929829,-6.746687e-05,0.035217,0.030701,1.0254,0.9997476,0.01412598,-0.01747167,5.305165e-05
4036469,-0.0005743727,-0.000726141,-0.0004669409,0.036255,0.027832,1.0274,0.9997477,0.01410994,-0.01748035,5.091832e-05
4049818,-0.0004412085,-0.0001935083,0.001130955,0.037048,0.027161,1.0255,0.9997477,0.01408794,-0.01749623,5.707304e-05
4062942,-0.00124016,-6.035063e-05,-0.0009995736,0.0354,0.028381,1.0266,0.9997479,0.01407666,-0.01749153,5.198451e-05
4075959,0.0002245754,7.280754e-05,0.000465164,0.036255,0.028625,1.0242,0.9997478,0.01407625,-0.01749691,5.444093e-05
4088979,-0.000973843,-0.0001935083,0.000465164,0.034668,0.030518,1.0215,0.9997478,0.01409138,-0.01748722,5.616603e-05
4102088,0.001289845,-0.001791405,0.001264114,0.036133,0.029114,1.0271,0.9997475,0.01410026,-0.0174993,6.246969e-05
4114921,-0.0003080517,-0.001391931,-6.746687e-05,0.034424,0.026733,1.0266,0.999748,0.01407667,-0.01749151,6.218536e-05
4128124,-0.0008406863,-0.0005929829,-0.0003337841,0.035217,0.027039,1.0222,0.9997483,0.01405578,-0.01748986,6.062953e-05
4141497,-0.001107,-0.0001935083,-0.0007332582,0.034851,0.028687,1.024,0.9997485,0.01405026,-0.01748211,5.673267e-05
4154425,0.00075721,0.0003391234,0.001130955,0.035339,0.027588,1.0237,0.9997487,0.01404322,-0.01747708,6.261545e-05
4167266,-0.0004412085,-0.0005929829,0.000465164,0.034668,0.029785,1.0269,0.9997488,0.01405085,-0.01746924,6.45356e-05
4180373,-0.0008406863,-0.001391931,0.0005983226,0.035278,0.028687,1.027,0.9997488,0.01404587,-0.01747137,6.729941e-05
4193482,0.001822479,0.0003391234,-0.0002006255,0.0354,0.027954,1.0242,0.9997488,0.01404815,-0.01746706,6.656254e-05
4206412,0.0003577396,-0.001125615,-0.0003337841,0.034668,0.02887,1.0242,0.9997488,0.0140516,-0.01746345,6.468809e-05
4219432,-0.0005743727,-0.0009924565,-0.0006000996,0.036438,0.027405,1.0256,0.9997488,0.01403709,-0.01747466,6.186109e-05
4232825,9.141862e-05,-0.0003266665,-0.0002006255,0.035339,0.030701,1.0249,0.9997485,0.01405513,-0.01747299,6.048982e-05
4246077,-0.0001748949,-0.0005929829,0.0007314812,0.033447,0.029053,1.0223,0.9997488,0.01405776,-0.0174574,6.376532e-05
4259276,-0.0001748949,-0.0008592987,0.0007314812,0.035583,0.028259,1.0252,0.9997488,0.01405294,-0.01746078,6.740021e-05
4272561,0.0008903667,7.280754e-05,-0.001399048,0.034851,0.029602,1.0217,0.9997488,0.0140656,-0.01745435,6.026441e-05
4285570,-0.000973843,-0.0009924565,-0.0007332582,0.036865,0.030579,1.0232,0.9997483,0.01407631,-0.01746936,5.63152e-05
4298822,-0.000973843,-0.001391931,0.000465164,0.034546,0.031128,1.0215,0.9997481,0.0140913,-0.01746797,5.799136e-05
4311690,-0.0008406863,-0.0003266665,0.0001988485,0.03363,0.027649,1.0248,0.9997486,0.01407839,-0.01745339,5.881193e-05
4324893,-0.002172265,0.0007385979,-6.746687e-05,0.036438,0.028503,1.0234,0.9997486,0.01406619,-0.01745611,5.84507e-05
4338000,-0.00124016,7.280754e-05,-0.0007332582,0.036743,0.028992,1.0255,0.9997486,0.01406215,-0.01746375,5.475862e-05
4351105,-0.00124016,-0.000726141,-0.0003337841,0.035461,0.029114,1.0239,0.9997486,0.01405936,-0.01746591,5.285128e-05
4364215,-0.0004412085,0.0003391234,-0.0002006255,0.037903,0.028198,1.0271,0.9997485,0.01405308,-0.01748006,5.212812e-05
4377484,-0.001506474,0.0002059657,-0.0004669409,0.037903,0.027954,1.0257,0.9997484,0.01404025,-0.0174948,4.999218e-05
4390606,-0.000973843,0.0007385979,-0.0004669409,0.035645,0.02771,1.0265,0.9997486,0.0140284,-0.01749014,4.773426e-05
4403617,-4.173815e-05,0.0008717561,0.0003320072,0.036255,0.027588,1.0247,0.9997488,0.01402085,-0.01748973,4.963437e-05
4416821,0.001023531,-0.0001935083,0.000864638,0.035522,0.028809,1.0239,0.9997487,0.01402737,-0.01748967,5.399124e-05
4429831,-0.000973843,7.280754e-05,0.001796745,0.035583,0.028992,1.0245,0.9997487,0.014025,-0.01748864,6.283518e-05
4442670,-4.173815e-05,-0.0008592987,0.001530429,0.037231,0.029785,1.027,0.9997483,0.01403215,-0.01750279,7.042698e-05
4455814,9.141862e-05,-0.001525089,0.0009977967,0.037109,0.029053,1.0245,0.999748,0.01403542,-0.01751966,7.539379e-05
4468817,0.0004908964,-0.0008592987,0.0003320072,0.035095,0.030151,1.0262,0.9997479,0.01404758,-0.01751924,7.679887e-05
4481996,9.141862e-05,-0.000726141,6.568991e-05,0.037537,0.028015,1.0245,0.9997477,0.01404394,-0.01753445,7.731857e-05
4495104,0.001822479,-0.0004598247,-0.0002006255,0.036499,0.029358,1.0228,0.9997473,0.0140579,-0.01754174,7.64289e-05
4508121,-0.0001748949,0.0002059657,0.000465164,0.036133,0.028992,1.0248,0.9997473,0.01405905,-0.01754291,7.874744e-05
4521219,0.0008903667,0.0002059657,0.001530429,0.034302,0.027405,1.0223,0.9997475,0.01405587,-0.01753324,8.649876e-05
4534242,0.0003577396,0.0004722816,-0.0004669409,0.034485,0.029175,1.0222,0.9997476,0.01406131,-0.0175235,8.406257e-05
4547351,0.00075721,0.0006054398,0.0003320072,0.035828,0.027893,1.0206,0.9997476,0.01406101,-0.01752187,8.592162e-05
4560284,0.0006240532,7.280754e-05,6.568991e-05,0.035645,0.029175,1.0257,0.9997476,0.01406698,-0.0175207,8.624824e-05
4573303,-0.0004412085,-6.035063e-05,0.001130955,0.035889,0.028748,1.0209,0.9997475,0.01406576,-0.01752273,9.186282e-05
4586490,0.001556158,-0.0004598247,0.0003320072,0.037231,0.027161,1.0221,0.9997474,0.01406498,-0.01753431,9.390623e-05
4599605,-0.0003080517,0.0004722816,0.0007314812,0.0354,0.026611,1.0262,0.9997477,0.01405121,-0.01752964,9.774909e-05
4612622,0.0006240532,-0.0003266665,6.568991e-05,0.034973,0.027954,1.024,0.9997478,0.01405044,-0.01752694,9.811635e-05
